time,timestamp,recordtime,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ
2014-12-21 20:31:10.532,1,0.1,0.03555298,-0.014328,-1.020752,-21.02353,30.2541,-42.6465,31.95995,35.25578,25,-0.008305867,0.0324357,0.006857373,-1.95701,0.03470331,0.01192595,0.01066283,0.01365385,0.005611092,0.000859099,-0.002402341,-0.02142512
2014-12-21 20:31:10.598,2,0.2,0.03556824,-0.01434326,-1.022705,-18.97696,30.42006,-41.90001,30.43265,33.72848,25,-0.01420264,0.02198067,-0.002601109,-1.95701,0.03470331,0.01192595,0.01066283,0.01365385,0.005611092,0.000859099,-0.002402341,-0.02142512
2014-12-21 20:31:10.685,3,0.3,0.03271484,-0.01524353,-1.021744,-18.92165,29.59036,-42.18712,30.83503,34.13086,25,-0.01777474,0.01963655,-0.0001193096,-1.957209,0.03509136,0.0120355,0.001194221,0.0008553243,-0.001365533,0.0005476502,-0.0004922518,-0.03225845
2014-12-21 20:31:10.895,4,0.4,0.0375824,-0.01348877,-1.031525,-20.0279,30.80724,-41.6129,31.26624,34.56207,25,-0.02249519,0.02194312,-0.00494043,-1.957279,0.03509738,0.01239501,0.001207493,-0.003779334,-0.004922342,0.002494917,-0.003901692,-0.024359
2014-12-21 20:31:10.907,5,0.5,0.0375824,-0.01348877,-1.031525,-19.5854,30.69662,-42.53166,31.22701,34.52284,25,-0.02249519,0.02194312,-0.00494043,-1.957368,0.03509793,0.01241079,-0.00352501,0.003161662,-0.006186525,0.002494378,-0.001078295,-0.03221749
2014-12-21 20:31:11.101,6,0.6,0.03363037,-0.01335144,-1.02272,-18.70041,30.25414,-41.38322,31.22758,34.52341,25,-0.02371785,0.01960113,0.002350506,-1.957737,0.03512691,0.01278417,-0.00474757,0.0008206469,0.001104478,0.002404542,-0.001605213,-0.0253415
2014-12-21 20:31:11.114,7,0.7,0.03363037,-0.01335144,-1.02272,-18.70041,30.25414,-41.38322,31.22758,34.52341,25,-0.01893641,0.02196123,-0.004973187,-1.957737,0.03512691,0.01278417,-0.00474757,0.0008206469,0.001104478,0.002404542,-0.001605213,-0.0253415
2014-12-21 20:31:11.311,8,0.8,0.03746033,-0.01341248,-1.022675,-18.47916,30.14351,-41.38322,31.18163,34.47746,25,-0.02254712,0.01496031,0.004822186,-1.957369,0.03760895,0.01295655,-0.003577622,-0.003820112,0.003576221,0.003708617,-0.001463368,-0.02148193
2014-12-21 20:31:11.510,9,0.9,0.03761292,-0.01445007,-1.031525,-19.30885,30.64133,-41.44064,31.12853,34.42436,25,-0.01657978,0.01732653,-0.002512692,-1.957178,0.03716215,0.01289901,0.003552183,-0.004955075,0.00230846,0.0002793016,0.0004169657,-0.02346339
2014-12-21 20:31:11.683,10,1,0.03633118,-0.008651733,-1.021729,-19.97261,30.5307,-41.44064,31.10933,34.40516,25,-0.01538774,0.01733531,-0.003731355,-1.957381,0.03674717,0.01311099,0.001195996,0.0008410431,-0.0001684917,-0.0004045629,0.004458881,-0.02248951
