time,timestamp,recordtime,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy
2014-12-21 20:31:15.603,1,0.1,0.2897949,-0.05433655,-1.104843,19.38467,11.99056,-29.59343,305.9962,309.2921,10
2014-12-21 20:31:15.704,2,0.2,0.2354584,0.07244873,-1.032394,19.58389,12.19463,-29.78994,305.9962,309.2921,10
2014-12-21 20:31:15.775,3,0.3,0.2173462,0.07244873,-1.050507,20.38071,12.19463,-29.39692,305.9962,309.2921,10
2014-12-21 20:31:15.875,4,0.4,0.2173462,0.03622437,-1.068619,20.38074,11.7865,-30.18295,305.9962,309.2921,10
2014-12-21 20:31:15.978,5,0.5,0.1086731,0.03622437,-1.141068,19.18549,11.58243,-30.37946,305.9962,309.2921,10
2014-12-21 20:31:16.077,6,0.6,0.03622437,0.1086731,-0.99617,15.79901,9.337715,-33.13058,305.9962,309.2921,10
2014-12-21 20:31:16.177,7,0.7,0,0.03622437,-1.068619,14.40454,9.337715,-33.91663,304.9962,308.2921,10
2014-12-21 20:31:16.277,8,0.8,0.01811218,-0.03622437,-1.104843,14.00616,9.949909,-32.93408,303.9962,307.2921,10
2014-12-21 20:31:16.376,9,0.9,0.1267853,0.5071411,-1.376526,14.20532,10.35804,-32.54106,301.9962,305.2921,10
2014-12-21 20:31:16.475,10,1,-0.07244873,-0.3260193,-1.15918,11.61566,14.23528,-28.61089,299.9962,303.2921,10
2014-12-21 20:31:16.577,11,1.1,0.1267853,0.03622437,-1.666321,9.822784,11.58243,-29.78994,299.9962,303.2921,10
2014-12-21 20:31:16.677,12,1.2,0.2535706,-0.1630096,-1.304077,14.00613,-1.477726,-31.75503,301.9962,305.2921,10
2014-12-21 20:31:16.775,13,1.3,0.3079071,0,-0.5071411,22.9704,-24.74113,-26.05627,304.9962,308.2921,10
2014-12-21 20:31:16.877,14,1.4,0.4346924,-0.05433655,-0.7425995,25.75934,-26.98584,-24.28769,307.9962,311.2921,10
2014-12-21 20:31:16.975,15,1.5,0.3803558,-0.4165802,-0.9599457,20.57996,-28.4143,-29.39692,236.9963,240.2921,10
2014-12-21 20:31:17.077,16,1.6,0.6882629,0.07244873,-2.300247,22.17365,-29.23056,-29.59343,218.9963,222.2921,10
2014-12-21 20:31:17.179,17,1.7,0.3260193,-0.1811218,-0.796936,25.56012,-39.4338,-29.59343,208.9963,212.2921,10
2014-12-21 20:31:17.276,18,1.8,0.1267853,0.05433655,-0.9780579,25.16168,-44.73949,-32.14804,203.9963,207.2921,10
2014-12-21 20:31:17.376,19,1.9,0.1448975,0.07244873,-1.032394,23.96646,-46.78014,-30.37946,202.9963,206.2921,10
2014-12-21 20:31:17.478,20,2,0.3441315,0.03622437,-0.9056091,23.16965,-48.41266,-30.18295,199.9963,203.2921,10
2014-12-21 20:31:17.576,21,2.1,0.5614777,0.1086731,-0.9418335,19.98233,-43.31104,-31.55852,198.9963,202.2921,10
2014-12-21 20:31:17.676,22,2.2,-0.2173462,0.3803558,-1.050507,22.57196,-6.375286,-36.86426,197.9963,201.2921,10
2014-12-21 20:31:17.776,23,2.3,0.4346924,0.03622437,-1.032394,20.38068,0.7669868,-36.86426,197.9963,201.2921,15
2014-12-21 20:31:17.876,24,2.4,0.1630096,0.1086731,-1.141068,17.19342,-0.2533379,-37.45378,198.9963,202.2921,15
2014-12-21 20:31:17.979,25,2.5,0,0.1267853,-0.9237213,13.6077,-1.681789,-39.22236,214.9963,218.2921,15
2014-12-21 20:31:18.078,26,2.6,0.03622437,-0.2354584,-1.57576,6.635468,-7.191544,-39.81189,226.9963,230.2921,15
2014-12-21 20:31:18.175,27,2.7,-0.01811218,-0.09056091,-1.104843,5.639465,-8.007805,-39.81189,233.9963,237.2921,15
2014-12-21 20:31:18.276,28,2.8,-0.05433655,-0.01811218,-1.068619,5.838654,-8.211868,-40.59792,235.9963,239.2921,15
2014-12-21 20:31:18.375,29,2.9,-0.03622437,0,-1.068619,5.241028,-8.007805,-39.81189,231.9963,235.2921,15
2014-12-21 20:31:18.475,30,3,-0.03622437,-0.01811218,-1.068619,4.045776,-7.803738,-40.2049,224.9963,228.2921,15
2014-12-21 20:31:18.578,31,3.1,-0.03622437,0,-1.086731,3.846527,-8.007805,-40.59792,220.9963,224.2921,15
2014-12-21 20:31:18.675,32,3.2,-0.03622437,0,-1.068619,4.643372,-7.803738,-40.59792,217.9963,221.2921,15
2014-12-21 20:31:18.776,33,3.3,-0.03622437,0,-1.068619,4.045715,-8.211868,-39.81189,216.9963,220.2921,15
2014-12-21 20:31:18.878,34,3.4,-0.03622437,-0.01811218,-1.068619,4.444122,-8.619999,-39.41887,215.9963,219.2921,15
2014-12-21 20:31:18.978,35,3.5,-0.03622437,0,-1.068619,4.842529,-8.211868,-40.2049,213.9963,217.2921,15
2014-12-21 20:31:19.076,36,3.6,-0.03622437,0,-1.068619,4.643341,-8.619999,-40.00839,213.9963,217.2921,15
2014-12-21 20:31:19.176,37,3.7,-0.03622437,-0.01811218,-1.068619,4.643311,-8.007805,-39.81189,213.9963,217.2921,15
